,,extensionName,extensionDescription,contextMenuItemLabel
fr,French,Fermer les autres onglets,"Permet de fermer les autres onglets avec un bouton de la barre d'outils, un élément dans le menu contextuel ou en appuyant sur Alt + Maj + W.",Fermer les autres onglets
gu,Gujarati,અન્ય ટૅબ્સને બંધ કરો,"તમે ટૂલબાર બટન, રાઇટ-ક્લિક મેનુમાં પર અથવા દબાવીને Alt + Shift + ડબલ્યુ દ્વારા એક આઇટમ સાથે અન્ય ટૅબ્સને બંધ કરો કરવાની મંજૂરી આપો.",અન્ય ટૅબ્સને બંધ કરો
he,Hebrew,סגור כרטיסיות אחרות,"מאפשר לך מקרוב אחר עם לחצן סרגל כלים, פריט בתפריט הקליק הימני או על ידי לחיצה על Alt + Shift + W.",סגור כרטיסיות אחרות
hi,Hindi,अन्य टैब बंद करें,"आप एक उपकरण पट्टी बटन, राइट-क्लिक मेनू पर या दबाने Alt + Shift + डब्ल्यू द्वारा एक आइटम के साथ निकट अन्य टैब करने देता है।",अन्य टैब बंद करें
hr,Croatian,Zatvori ostale kartice,"Omogućuje vam Zatvori ostale kartice sa gumb alatne trake, stavke na izborniku desnog klika ili pritiskom na ALT + W.",Zatvori ostale kartice
hu,Hungarian,Egyéb lapok bezárása,"Lehetővé teszi, hogy zárja be a többi lapok egy eszköztár gombot, egy elemet a jobb egérgombbal a menü, vagy az Alt + Shift + W.",Egyéb lapok bezárása
id,Indonesian,Tutup Tab Lain,"Memungkinkan Anda untuk dekat tab lain dengan tombol toolbar, item pada menu klik kanan atau dengan menekan Alt + Shift + W.",Tutup Tab Lain
it,Italian,Chiudi le altre schede,"si permette di chiudere altre schede con un pulsante della barra degli strumenti, una voce del menu di scelta rapida o premendo Alt + Maiusc + W.",Chiudi le altre schede
ja,Japanese,他のタブをすべて閉じます,あなたはアイテムは右クリックメニューまたはAltキー+ Shiftキー+ Wを押して、ツールバーのボタンで他のタブをすべて閉じることを可能にします。,他のタブをすべて閉じます
kn,Kannada,ಇತರ ಟ್ಯಾಬ್ಗಳನ್ನು ಮುಚ್ಚಿ,"ನೀವು ಟೂಲ್ಬಾರ್ ಬಟನ್, ಬಲ ಕ್ಲಿಕ್ ಮೆನು ಅಥವಾ ಒತ್ತುವ Alt + Shift + W ಅದಕ್ಕೆ ಐಟಂ ನಿಕಟ ಇತರ ಟ್ಯಾಬ್ಗಳನ್ನು ನಿಮಗೆ ಅನುಮತಿಸುತ್ತದೆ.",ಇತರ ಟ್ಯಾಬ್ಗಳನ್ನು ಮುಚ್ಚಿ
ko,Korean,다른 탭 닫기,"당신은 도구 모음 단추, 오른쪽 클릭 메뉴 또는 누르면 Alt + Shift 키 + W에 의한 항목을 가지고있는 다른 탭 닫기 할 수 있습니다.",다른 탭 닫기
lt,Lithuanian,Uždaryti kitus skirtukus,"Leidžia Uždaryti kitus skirtukus su įrankių juostos mygtuką, elementą dešiniuoju pelės mygtuku spustelėkite meniu arba paspaudę Alt + Shift + W.",Uždaryti kitus skirtukus
lv,Latvian,Aizvērt citas cilnes,"Ļauj Aizvērt citas cilnes ar rīkjoslas pogas, vienuma uz labo klikšķi izvēlnē vai nospiežot Alt + Shift + W.",Aizvērt citas cilnes
ml,Malayalam,മറ്റ് ടാബുകൾ അടയ്ക്കുക,"നിങ്ങൾ ഒരു ബട്ടൺ ഉപയോഗിച്ച് മറ്റ് ടാബുകൾ അടയ്ക്കുക, ഒരു ഇനത്തിൽ വലതുക്ലിക്കുചെയ്ത് മെനു അല്ലെങ്കിൽ അമർത്തിയാൽ + Shift + ഡബ്ല്യു അനുവദിക്കുന്നു.",മറ്റ് ടാബുകൾ അടയ്ക്കുക
mr,Marathi,अन्य टॅब बंद करा,"आपण एक साधनपट्टी बटण, राईट-क्लिक मेनू किंवा दाबून Alt + Shift + प एक आयटम अन्य टॅब बंद करा करण्याची आपल्याला अनुमती देते.",अन्य टॅब बंद करा
ms,Malay,Tutup Tab Lain,"Membolehkan anda untuk tutup tab lain dengan butang bar alat, item pada menu klik kanan atau dengan menekan Alt + Shift + W.",Tutup Tab Lain
nl,Dutch,Andere tabbladen sluiten,"Kunt u close andere tabbladen met een knop op de werkbalk, een item in het snelmenu of door op Alt + Shift + W.",Andere tabbladen sluiten
no,Norwegian,Lukk andre faner,"Kan du lukke andre faner med en knapp på verktøylinjen, et element på høyreklikkmenyen eller ved å trykke Alt + Shift + W.",Lukk andre faner
pl,Polish,Zamknij inne karty,"Pozwala na bliskich innych kartach z przycisku paska narzędzi, pozycji w menu prawego przycisku myszy lub naciskając Alt + Shift + W.",Zamknij inne karty
pt_BR,Portuguese (Brazil),Fechar outras guias,"Permite que você feche outras guias com um botão da barra de ferramentas, um item no menu do botão direito ou pressionando Alt + Shift + W.",Fechar outras guias
pt_PT,Portuguese (Portugal),Fechar outras guias,"Permite que você feche outras guias com um botão da barra de ferramentas, um item no menu do botão direito ou pressionando Alt + Shift + W.",Fechar outras guias
ro,Romanian,Închideți celelalte file,"vă permite să închideți alte file cu un buton de bară de instrumente, un element din meniul click-dreapta sau prin apăsarea Alt + Shift + W.",Închideți celelalte file
ru,Russian,Закрыть другие вкладки,"Позволяет закрыть другие вкладки с кнопкой на панели инструментов, пункт, в меню правой кнопки мыши или нажатием Alt + Shift + W.",Закрыть другие вкладки
sk,Slovak,Zatvoriť ostatné karty,"Umožňuje blízkej ďalšie karty s tlačidlo panela nástrojov, položky v menu pravého tlačidla myši alebo stlačením Alt + Shift + W.",Zatvoriť ostatné karty
sl,Slovenian,Zapri druge zavihke,"vam omogoča, da v bližini drugih karticah z gumbom orodne vrstice, točko na desni klik menija ali s pritiskom na Alt + Shift + W.",Zapri druge zavihke
sr,Serbian,Затвори друге картице,"Омогућава вам да Затварање других картица са дугме на палети алатки, ставку на менију десним кликом или притиском на Алт + Схифт + В.",Затвори друге картице
sv,Swedish,Stäng andra flikar,"Låter dig nära andra flikar med en knapp i verktygsfältet, ett objekt på högerklicksmenyn eller genom att trycka på Alt + Skift + W.",Stäng andra flikar
sw,Swahili,Funga Vichupo Vingine,"Inakuwezesha karibu tabo nyingine na kifungo toolbar, bidhaa kwenye orodha bofya kulia au kwa kubonyeza Alt + Shift + W.",Funga Vichupo Vingine
ta,Tamil,பிற தாவல்களை மூடுக,"நீங்கள் ஒரு டூல்பார் பொத்தானை, வலது கிளிக் மெனுவில் அல்லது அழுத்தி பார்க்க Alt + Shift + W அழுத்தினால் மூலம் ஒரு பொருளை மற்ற மூடுவதில் அனுமதிக்கிறது.",பிற தாவல்களை மூடுக
te,Telugu,ఇతర టాబ్లను మూసివేయి,"మీరు ఒక టూల్బార్ బటన్, కుడి క్లిక్ మెనులో లేదా Alt + Shift నొక్కడం + W ద్వారా ఒక అంశానికి ఇతర టాబ్లను మూసివేయి అనుమతిస్తుంది.",ఇతర టాబ్లను మూసివేయి
th,Thai,ปิดแท็บอื่น ๆ,ช่วยให้คุณสามารถปิดแท็บอื่น ๆ ที่มีปุ่มแถบเครื่องมือรายการในเมนูคลิกขวาหรือโดยการกด Alt + Shift + W,ปิดแท็บอื่น ๆ
tr,Turkish,Diğer Sekmeleri Kapat,"Eğer bir araç çubuğu düğmesi, sağ tıklama menüsüne veya basarak Alt + Shift + W tarafından bir öğe ile yakın diğer sekmelerin sağlar.",Diğer Sekmeleri Kapat
uk,Ukrainian,Закрити інші вкладки,"Дозволяє закрити інші вкладки з кнопкою на панелі інструментів, пункт, в меню правої кнопки миші або натисканням Alt + Shift + W.",Закрити інші вкладки
vi,Vietnamese,Close Other Tabs,"Cho phép bạn đóng các tab khác với một nút trên thanh công cụ, một mục trên menu chuột phải hoặc bằng cách nhấn Alt + Shift + W.",Close Other Tabs
zh_CN,Chinese (China),关闭其他标签页,允许您使用工具栏按钮，按下Alt + Shift + W键的右键菜单或项目关闭其他标签页。,关闭其他标签页
zh_TW,Chinese (Taiwan),關閉其他標籤頁,允許您使用工具欄按鈕，按下Alt + Shift + W鍵的右鍵菜單或項目關閉其他標籤頁。,關閉其他標籤頁
